shipment_id,origin_city,destination_city,pickup_date,delivery_date,weight_kg,distance_km,delivery_status,cost
SHP00001,Bangalore,Bangalore,2023-06-21,2023-06-27,27.37,1615.4,Delivered,1395.27
SHP00002,Pune,Ahmedabad,2023-05-24,2023-05-30,41.73,42.9,Delivered,275.21
SHP00003,Pune,Pune,2023-10-31,2023-11-12,6.69,381.7,Delayed,359.63
SHP00004,Pune,Ahmedabad,2023-06-02,2023-06-03,6.92,1313.3,Delivered,1084.87
SHP00005,Hyderabad,Ahmedabad,2023-03-30,2023-04-02,28.06,757.8,Delivered,753.08
SHP00006,Pune,Bangalore,2023-05-30,2023-05-31,47.35,1965.1,Delivered,1765.4
SHP00007,Chennai,Kolkata,2023-06-11,2023-06-16,21.04,1334.2,Delivered,1162.49
SHP00008,Bangalore,Hyderabad,2023-04-02,2023-04-03,16.68,1913.5,Delivered,1579.8
SHP00009,Ahmedabad,Bangalore,2023-09-05,2023-09-06,30.53,410.9,Delivered,498.14
SHP00010,Pune,Chennai,2023-03-31,2023-04-13,46.56,1729.3,Delayed,1571.97
SHP00011,Mumbai,Bangalore,2023-06-29,2023-07-04,41.93,649.5,Delivered,744.71
SHP00012,Ahmedabad,Chennai,2023-10-21,2023-10-23,49.78,1979.2,Delivered,1777.89
SHP00013,Hyderabad,Ahmedabad,2023-12-24,2023-12-25,1.62,323.8,Delivered,320.27
SHP00014,Chennai,Pune,2023-06-28,2023-06-30,6.09,1037.5,Delivered,871.97
SHP00015,Mumbai,Bangalore,2023-04-28,2023-04-30,30.67,1587.8,Delivered,1393.39
SHP00016,Mumbai,Chennai,2023-03-24,2023-03-30,41.12,871.0,Delayed,924.02
SHP00017,Mumbai,Bangalore,2023-06-18,2023-06-20,14.62,941.5,Delivered,823.13
SHP00018,Mumbai,Pune,2023-10-05,2023-10-12,12.34,1972.8,Delivered,1602.73
SHP00019,Ahmedabad,Ahmedabad,2023-04-09,2023-04-20,39.46,856.4,Delayed,878.55
SHP00020,Ahmedabad,Bangalore,2023-02-05,2023-02-06,3.29,1212.1,Delivered,986.42
SHP00021,Bangalore,Delhi,2023-03-27,2023-03-28,18.78,118.5,Delivered,231.03
SHP00022,Pune,Chennai,2023-01-15,2023-01-21,25.54,1686.0,Delivered,1426.5
SHP00023,Kolkata,Pune,2023-02-04,2023-02-07,28.24,1299.9,Delivered,1157.06
SHP00024,Bangalore,Chennai,2023-12-02,2023-12-12,36.57,814.0,Failed,839.44
SHP00025,Bangalore,Chennai,2023-08-09,2023-08-14,18.06,42.2,Delivered,181.92
SHP00026,Chennai,Mumbai,2023-06-14,2023-06-16,30.83,1187.4,Delivered,1077.62
SHP00027,Chennai,Pune,2023-11-22,2023-11-26,29.48,35.2,Delivered,230.18
SHP00028,Pune,Bangalore,2023-08-06,2023-08-12,27.61,12.4,Delayed,205.99
SHP00029,Kolkata,Chennai,2023-02-11,2023-02-13,32.2,1236.0,Delayed,1144.16
SHP00030,Chennai,Kolkata,2023-08-07,2023-08-11,13.34,386.1,Delivered,416.7
SHP00031,Pune,Mumbai,2023-11-29,2023-12-01,4.69,391.9,Delivered,354.5
SHP00032,Pune,Delhi,2023-09-20,2023-09-27,6.4,1310.0,Delivered,1067.98
SHP00033,Ahmedabad,Chennai,2023-10-08,2023-10-13,11.62,116.9,Delivered,213.42
SHP00034,Delhi,Ahmedabad,2023-04-18,2023-04-23,25.26,633.7,Delayed,656.01
SHP00035,Ahmedabad,Chennai,2023-03-29,2023-04-02,42.1,307.4,Delayed,495.5
SHP00036,Kolkata,Mumbai,2023-11-09,2023-11-21,35.21,1164.6,Delayed,1108.96
SHP00037,Chennai,Bangalore,2023-11-07,2023-11-11,39.56,1326.9,Delivered,1236.3
SHP00038,Kolkata,Kolkata,2023-12-10,2023-12-24,17.87,1445.1,Delayed,1231.19
SHP00039,Bangalore,Ahmedabad,2023-01-26,2023-02-03,20.53,517.9,Delayed,557.72
SHP00040,Bangalore,Delhi,2023-08-12,2023-08-19,19.99,187.6,Delivered,271.09
SHP00041,Kolkata,Ahmedabad,2023-06-20,2023-06-21,10.0,166.6,Delivered,239.75
SHP00042,Delhi,Chennai,2023-03-31,2023-04-11,3.53,858.0,Failed,699.89
SHP00043,Delhi,Bangalore,2023-11-01,2023-11-07,29.75,1892.2,Delivered,1616.14
SHP00044,Ahmedabad,Pune,2023-01-23,2023-02-07,49.47,443.3,Delayed,643.92
SHP00045,Kolkata,Kolkata,2023-05-29,2023-06-04,8.76,520.9,Delivered,497.43
SHP00046,Chennai,Pune,2023-11-06,2023-11-10,2.81,210.8,Delivered,237.83
SHP00047,Ahmedabad,Kolkata,2023-09-23,2023-09-26,39.09,1215.1,Failed,1174.39
SHP00048,Hyderabad,Delhi,2023-01-21,2023-01-27,13.0,1362.9,Delivered,1135.06
SHP00049,Delhi,Hyderabad,2023-03-11,2023-03-17,41.57,1289.4,Delayed,1231.15
SHP00050,Mumbai,Kolkata,2023-01-31,2023-02-04,35.34,1723.6,Delivered,1515.02
SHP00051,Ahmedabad,Hyderabad,2023-12-10,2023-12-14,47.31,978.0,Delivered,1014.08
SHP00052,Bangalore,Pune,2023-05-01,2023-05-07,20.74,277.6,Delivered,359.16
SHP00053,Ahmedabad,Kolkata,2023-11-22,2023-11-25,33.27,585.9,Delivered,665.5
SHP00054,Kolkata,Delhi,2023-12-30,2024-01-06,23.51,1328.2,Delivered,1163.76
SHP00055,Mumbai,Mumbai,2023-06-25,2023-06-29,31.71,1230.1,Delayed,1143.69
SHP00056,Kolkata,Delhi,2023-04-07,2023-04-12,22.76,1066.7,Delivered,973.63
SHP00057,Pune,Delhi,2023-01-31,2023-02-07,9.84,1369.1,Delivered,1106.84
SHP00058,Bangalore,Mumbai,2023-08-16,2023-08-21,25.64,1278.4,Delivered,1142.21
SHP00059,Bangalore,Mumbai,2023-10-21,2023-10-26,26.66,1763.8,Delivered,1503.61
SHP00060,Delhi,Bangalore,2023-04-16,2023-04-22,40.62,1176.2,Delayed,1133.52
SHP00061,Ahmedabad,Kolkata,2023-11-15,2023-11-16,36.91,1559.4,Delivered,1416.83
SHP00062,Delhi,Pune,2023-03-28,2023-03-31,33.36,504.9,Delivered,597.38
SHP00063,Mumbai,Bangalore,2023-06-25,2023-06-27,6.11,1359.6,Delivered,1115.67
SHP00064,Ahmedabad,Mumbai,2023-01-05,2023-01-11,36.17,1805.4,Delivered,1593.41
SHP00065,Pune,Hyderabad,2023-02-19,2023-02-20,25.27,777.6,Delivered,761.66
SHP00066,Kolkata,Pune,2023-08-01,2023-08-03,44.76,1560.4,Delivered,1454.28
SHP00067,Pune,Hyderabad,2023-08-16,2023-08-20,46.03,1452.3,Delivered,1350.91
SHP00068,Bangalore,Delhi,2023-05-04,2023-05-16,3.23,128.5,Delayed,143.61
SHP00069,Mumbai,Chennai,2023-10-06,2023-10-16,41.12,1167.2,Failed,1114.33
SHP00070,Hyderabad,Delhi,2023-06-19,2023-06-28,2.37,269.1,Failed,261.18
SHP00071,Mumbai,Delhi,2023-07-07,2023-07-15,18.67,1935.0,Delayed,1584.02
SHP00072,Chennai,Chennai,2023-10-14,2023-10-23,27.34,1624.7,Delayed,1424.6
SHP00073,Mumbai,Kolkata,2023-09-26,2023-10-02,7.83,228.4,Delivered,262.14
SHP00074,Pune,Mumbai,2023-03-15,2023-03-22,37.44,252.3,Delivered,432.92
SHP00075,Chennai,Hyderabad,2023-04-09,2023-04-11,0.91,1193.0,Delivered,940.45
SHP00076,Chennai,Delhi,2023-12-28,2024-01-02,8.85,696.3,Failed,609.35
SHP00077,Ahmedabad,Chennai,2023-06-29,2023-06-30,29.25,79.5,Delivered,249.29
SHP00078,Ahmedabad,Bangalore,2023-03-12,2023-03-17,35.86,1087.9,Delivered,1053.17
SHP00079,Chennai,Delhi,2023-04-05,2023-04-10,45.87,781.8,Delivered,864.65
SHP00080,Hyderabad,Hyderabad,2023-03-03,2023-03-07,35.42,211.1,Delivered,386.13
SHP00081,Ahmedabad,Mumbai,2023-07-16,2023-07-17,33.75,1605.8,Delivered,1426.78
SHP00082,Mumbai,Delhi,2023-01-20,2023-01-26,20.02,1831.0,Delivered,1534.1
SHP00083,Pune,Delhi,2023-11-30,2023-12-03,0.56,1515.6,Delivered,1173.11
SHP00084,Mumbai,Kolkata,2023-02-21,2023-02-22,6.45,1646.6,Delivered,1328.27
SHP00085,Hyderabad,Ahmedabad,2023-08-01,2023-08-03,26.96,440.8,Delivered,517.93
SHP00086,Bangalore,Chennai,2023-01-03,2023-01-09,33.92,534.5,Delivered,627.24
SHP00087,Delhi,Bangalore,2023-04-03,2023-04-07,21.16,425.0,Delivered,467.65
SHP00088,Pune,Bangalore,2023-12-04,2023-12-06,36.67,1532.5,Delivered,1379.1
SHP00089,Ahmedabad,Pune,2023-03-06,2023-03-09,26.33,1896.4,Delivered,1593.2
SHP00090,Pune,Mumbai,2023-09-17,2023-09-19,4.17,1436.5,Delivered,1167.4
SHP00091,Mumbai,Pune,2023-10-28,2023-11-03,10.0,1764.1,Delivered,1422.96
SHP00092,Delhi,Hyderabad,2023-01-15,2023-01-25,42.08,1281.0,Failed,1240.99
SHP00093,Kolkata,Mumbai,2023-12-06,2023-12-07,36.38,781.4,Delivered,817.54
SHP00094,Kolkata,Delhi,2023-02-17,2023-02-18,44.79,857.3,Delivered,905.72
